Zip code;Latitude;Longitude;Daily Maximum Temperature;Daily Minimum Temperature;Temperature;Dew Point Temperature;Apparent Temperature;12 Hourly Probability of Precipitation;Liquid Precipitation Amount;Snow Amount;Cloud Cover Amount;Relative Humidity;Daily Maximum Relative Humidity;Daily Minimum Relative Humidity;Wind Direction;Wind Speed;Wind Speed Gust
92391;34.23;-117.23;19 ℃;9 ℃;18 ℃;-11 ℃;18 ℃;0 cm;0.00 cm;0.00 cm;40%;14%;37%;11%;220°;2 m/s;4 m/s
10007;40.72;-73.99;9 ℃;4 ℃;8 ℃;-6 ℃;8 ℃;9 cm;0.00 cm;0.00 cm;30%;35%;62%;33%;270°;8 m/s;12 m/s
